
Date,Event Name,Description,Impact Type
3/9/2020,COVID-19 pandemic,Global lockdowns reduced oil demand ,Economic
6/1/2014,OPEC maintains production,Kept output high despite oversupply,OPEC Decision
2/15/2011,Arab Spring,Political instability in Middle East,Political
9/15/2008,Global Financial Crisis,Economic collapse reduced demand,Economic
3/20/2003,Iraq War,Invasion disrupted Middle East oil,Conflict
11/27/2014,OPEC Production Decision,"OPEC decided not to cut production, causing oil price collapse",OPEC Decision
9/11/2001,September 11 Attacks,Terrorist attacks increased geopolitical uncertainty and supply risk,Political
7/14/2015,Iran Nuclear Deal,Agreement raised expectations of increased Iranian oil supply,Political
1/16/2016,Iran Sanctions Lifted,Removal of sanctions allowed Iran to re-enter global oil markets,Political
5/8/2018,US Withdraws from Iran Deal,Renewed sanctions reduced Iranian oil exports,Political
4/20/2020,Oil Price Crash,Demand collapse and storage limits caused extreme price drop,Economic
11/26/2021,Omicron Variant Emergence,Renewed travel restrictions affected demand expectations,Economic
2/24/2022,Russia�Ukraine Conflict,War disrupted global energy supply and increased uncertainty,Conflict
